Country Name,Year,Employment Sector: Agriculture,Employment Sector: Industry,Employment Sector: Services,Unemployment Rate,GDP,Population,Continent
North Macedonia,1991,26.80398238,36.28955113,36.90646649,24.5,4938775510,2055994,Europe
Norway,1991,5.783595369,23.57305688,70.64334775,5.407,1.22E+11,4261732,Europe
Oman,1991,9.967248592,7.463873609,82.5688778,4.055,12918335501,1851473,Asia
Pakistan,1991,46.31254558,21.02471238,32.66274203,0.611,45625336680,120060406,Asia
Panama,1991,27.29503814,14.46026836,58.2446935,6.445,7074675500,2508265,North America
Papua New Guinea,1991,37.45892615,3.201152339,59.33986014,2.799,3787394958,4021837,Oceania
Paraguay,1991,29.585998,18.51472987,51.89927212,5.1,6984367763,4144364,South America
Peru,1991,41.89498465,16.06175826,42.04325709,4.934,34341465998,22483775,South America
Philippines,1991,45.2875356,16.04631988,38.66614451,3.729,51784144943,64382249,Asia
Poland,1991,25.45058856,33.00725795,41.54214693,13.611,85500935935,38246193,Europe
Portugal,1991,11.90327716,33.59410253,54.5026203,3.919,89233599278,9960235,Europe
Qatar,1991,4.350717587,31.26630463,64.38297779,0.87,6883516484,454853,Asia
Romania,1991,38.88583048,34.53371883,26.5804599,8.218,28850634900,23001155,Europe
Russian Federation,1991,12.09180764,33.65607241,54.25211442,5.068,5.18E+11,148394216,Asia
Rwanda,1991,89.72115087,2.345426115,7.933423016,12.31,1911600237,7526966,Africa
Samoa,1991,46.63800485,10.50589328,42.85610187,2.1,125597205.4,169368,Oceania
Sao Tome and Principe,1991,41.17518499,14.07162259,44.75319242,14.513,107484142.7,125697,Africa
Saudi Arabia,1991,7.857004338,25.85688306,66.28611261,7.294,1.32E+11,11160744,Asia
Senegal,1991,52.33374474,12.8014009,34.8649042,2.867,7255210470,7943085,Africa
Sierra Leone,1991,70.63334893,2.127774012,27.23887706,4.085,779981987.1,4246267,Africa
Singapore,1991,1.215054766,34.83886392,63.94601377,2.18,45466164978,3135083,Asia
Slovak Republic,1991,11.03811556,42.04717169,46.91471275,12.166,14459924589,5303294,Europe
Slovenia,1991,11.17798401,45.5501934,43.27182259,7.08,14454495059,1999429,Europe
Solomon Islands,1991,53.11132929,5.636925872,41.25174484,1.985,227540473.3,341738,Oceania
Somalia,1991,38.70822093,15.32692262,45.96495977,19.315,717974929.8,6813760,Africa
South Africa,1991,23.55839516,26.81134534,49.6302595,23.002,1.35E+11,41687898,Africa
Spain,1991,10.66684121,32.04162254,57.29153625,15.929,5.77E+11,38966376,Europe
Sri Lanka,1991,41.39018135,19.97767302,38.63214563,14.661,9000362582,16475354,Asia
St. Lucia,1991,24.7494335,22.88434722,52.36621928,16.498,613703703.7,139520,North America
St. Vincent and the Grenadines,1991,24.78070175,21.24381466,53.97267206,19.77,254829629.6,112222,North America
Sudan,1991,55.47316652,13.50997562,31.01685787,15.652,44171194366,22470676,Africa
Suriname,1991,4.336423114,19.39555185,76.26802503,17.085,448100000,415013,South America
Sweden,1991,3.223917667,27.34762458,69.42845775,3.243,2.74E+11,8617375,Europe
Switzerland,1991,5.031437939,28.38510841,66.58342574,1.818,2.69E+11,6799978,Europe
Syrian Arab Republic,1991,28.21448078,30.32899678,41.45652244,6.75,12981833333,12980821,Asia
Tajikistan,1991,54.8628144,21.59090327,23.5462091,1.845,2536585366,5541205,Asia
Tanzania,1991,84.59058635,2.602167029,12.80723835,3.6,7197768159,26780436,Africa
Thailand,1991,61.25791493,15.6843428,23.05773881,2.63,98234714971,55637434,Asia
Timor-Leste,1991,69.0434907,7.551855347,23.40465395,3.51,147713000,778278,Asia
Togo,1991,60.26943104,7.869472444,31.86109651,4.085,2262767860,4115560,Africa
Tonga,1991,40.37069566,26.90874951,32.72358339,1.349,132201141.4,99895,Oceania
Trinidad and Tobago,1991,11.73822611,28.79627505,59.46549884,18.52,5307905882,1262171,North America
Tunisia,1991,23.05209646,31.82887298,45.11903057,15.946,13074782609,8501827,Africa
Turkiye,1991,47.7614645,20.28982387,31.94871162,8.21,1.51E+11,57009887,Europe
Turkmenistan,1991,35.94730058,30.6388908,33.41380862,1.4,3208098919,3855894,Asia
Uganda,1991,73.25361991,7.391406609,19.35497348,3.464,3321729160,18155901,Africa
Ukraine,1991,19.32978078,34.10762126,46.56260641,1.9,77350733982,52170961,Europe
United Arab Emirates,1991,9.317065763,29.02057015,61.66226737,1.625,51552165622,2006626,Asia
United Kingdom,1991,2.165177011,30.42569807,67.40912492,8.55,1.14E+12,57424897,Europe
United States,1991,2.77697482,24.50177348,72.7212517,6.8,6.16E+12,252981000,North America
Uruguay,1991,7.202465004,27.08517324,65.71236175,8.95,11206176651,3122354,South America
Uzbekistan,1991,41.41484701,20.97484709,37.61029223,1.9,13800167712,20962910,Asia
Vanuatu,1991,69.43044907,4.180357795,26.38919314,7.997,201334169.1,151793,Oceania
"Venezuela, RB",1991,12.63116331,26.05064035,61.31819634,9.45,53453444787,20304896,South America
Vietnam,1991,74.61714061,8.929620597,16.45324192,2.142,9613369520,66891775,Asia
"Yemen, Rep.",1991,54.82231866,11.75166265,33.42601869,8.409,14665445462,14430201,Asia
Zambia,1991,72.69451332,7.983109521,19.32237716,18.9,3376806697,7981650,Africa
Zimbabwe,1991,65.29216327,12.97338025,21.73445648,4.813,8641482396,10404816,Africa
Albania,1992,53.19879159,12.02418794,34.7769219,30.007,652174990.8,3247039,Europe
Algeria,1992,23.96704522,24.99652126,51.03641427,24.38,48003133347,26628568,Africa
Angola,1992,39.93826226,8.11794659,51.94379115,16.978,8307810974,12423712,Africa
Argentina,1992,13.47225462,28.10554213,58.42220325,6.36,2.29E+11,33693527,South America
